"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","06 Feb 2024","21825.20","21951.40","21737.55","21929.40"
"NIFTY 50","05 Feb 2024","21921.05","21964.30","21726.95","21771.70"
"NIFTY 50","02 Feb 2024","21812.75","22126.80","21805.55","21853.80"
"NIFTY 50","01 Feb 2024","21780.65","21832.95","21658.75","21697.45"
"NIFTY 50","31 Jan 2024","21487.25","21741.35","21448.85","21725.70"
"NIFTY 50","30 Jan 2024","21775.75","21813.05","21501.80","21522.10"
"NIFTY 50","29 Jan 2024","21433.10","21763.25","21429.60","21737.60"
"NIFTY 50","25 Jan 2024","21454.60","21459.00","21247.05","21352.60"
"NIFTY 50","24 Jan 2024","21185.25","21482.35","21137.20","21453.95"
"NIFTY 50","23 Jan 2024","21716.70","21750.25","21192.60","21238.80"
"NIFTY 50","20 Jan 2024","21706.15","21720.30","21541.80","21571.80"
"NIFTY 50","19 Jan 2024","21615.20","21670.60","21575.00","21622.40"
"NIFTY 50","18 Jan 2024","21414.20","21539.40","21285.55","21462.25"
"NIFTY 50","17 Jan 2024","21647.25","21851.50","21550.45","21571.95"
"NIFTY 50","16 Jan 2024","22080.50","22124.15","21969.80","22032.30"
"NIFTY 50","15 Jan 2024","22053.15","22115.55","21963.55","22097.45"
"NIFTY 50","12 Jan 2024","21773.55","21928.25","21715.15","21894.55"
"NIFTY 50","11 Jan 2024","21688.00","21726.50","21593.75","21647.20"
"NIFTY 50","10 Jan 2024","21529.30","21641.85","21448.65","21618.70"
"NIFTY 50","09 Jan 2024","21653.60","21724.45","21517.85","21544.85"
"NIFTY 50","08 Jan 2024","21747.60","21763.95","21492.90","21513.00"
"NIFTY 50","05 Jan 2024","21705.75","21749.60","21629.20","21710.80"
"NIFTY 50","04 Jan 2024","21605.80","21685.65","21564.55","21658.60"
"NIFTY 50","03 Jan 2024","21661.10","21677.00","21500.35","21517.35"
"NIFTY 50","02 Jan 2024","21751.35","21755.60","21555.65","21665.80"
"NIFTY 50","01 Jan 2024","21727.75","21834.35","21680.85","21741.90"
